"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0282_43_repaLepus americanus","DESC45","DESC_0282_43","repa","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",1594,98.02,"Chordata","DESC_0282_43",9708,"repa",1594,"Lepus americanus",9708,1
"DESC_0282_43_repbLepus americanus","DESC45","DESC_0282_43","repb","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",4184,98.02,"Chordata","DESC_0282_43",9708,"repb",4184,"Lepus americanus",9708,1
"DESC_0282_43_repcLepus americanus","DESC45","DESC_0282_43","repc","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",3930,98.02,"Chordata","DESC_0282_43",9708,"repc",3930,"Lepus americanus",9708,1
"DESC_0282_45_repaLepus americanus","DESC47","DESC_0282_45","repa","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",3868,98.02,"Chordata","DESC_0282_45",12552,"repa",3868,"Lepus americanus",12552,1
"DESC_0282_45_repbLepus americanus","DESC47","DESC_0282_45","repb","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",4634,98.02,"Chordata","DESC_0282_45",12552,"repb",4634,"Lepus americanus",12552,1
"DESC_0282_45_repcLepus americanus","DESC47","DESC_0282_45","repc","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",4050,98.02,"Chordata","DESC_0282_45",12552,"repc",4050,"Lepus americanus",12552,1
"DESC_0282_46_repaLepus americanus","DESC48","DESC_0282_46","repa","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",364,98.02,"Chordata","DESC_0282_46",1645,"repa",470,"Lepus americanus",1310,0.796352583586626
"DESC_0282_46_repaTamias sp","DESC48","DESC_0282_46","repa","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",106,100,"Chordata","DESC_0282_46",1645,"repa",470,"Tamias sp",335,0.203647416413374
"DESC_0282_46_repbLepus americanus","DESC48","DESC_0282_46","repb","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",474,98.02,"Chordata","DESC_0282_46",1645,"repb",606,"Lepus americanus",1310,0.796352583586626
"DESC_0282_46_repbTamias sp","DESC48","DESC_0282_46","repb","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",132,100,"Chordata","DESC_0282_46",1645,"repb",606,"Tamias sp",335,0.203647416413374
"DESC_0282_46_repcLepus americanus","DESC48","DESC_0282_46","repc","Lepus americanus","Canis latrans","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Snowshoe hare","Hare","Rabbits and hares","Lagomorphs","Mammals",472,98.02,"Chordata","DESC_0282_46",1645,"repc",569,"Lepus americanus",1310,0.796352583586626
"DESC_0282_46_repcTamias sp","DESC48","DESC_0282_46","repc","Tamias sp","Canis latrans","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chipmunk","Chipmunk","Squirrels","Rodents","Mammals",97,100,"Chordata","DESC_0282_46",1645,"repc",569,"Tamias sp",335,0.203647416413374
